商品コード,商品名,略称,標準単価,店舗単価,入数,適用開始日,販売終了日,凍結日,研修資格コード,研修資格,メーカーコード,メーカー,種別コード,種別
18945200,日本コ　アクエリアス,日本コ　アクエリアス,150,90,24,2015/06/01,,,,,,,,
18945300,ポッカ　スポーツウォーター,ポッカ　スポーツウォーター,100,60,24,2015/06/01,,,,,,,,
18945400,ポッカ　明治コクがおいしいミルクココア,ポッカ　明治コクがおいしいミルクココア,100,60,24,2015/06/01,2016/03/31,,,,,,,
18945500,ポッカ　じっくりコトコトつぶ入りとろ～りコーン,ポッカ　じっくりコトコトつぶ入りとろ～り,100,60,30,2015/06/01,,,,,,,,
18945600,ポッカ　ぽっかぽかレモン,ポッカ　ぽっかぽかレモン,100,60,24,2015/06/01,,,,,,,,
18953600,ブルボ　スローバーチョコレート,ブルボ　スローバーチョコレート,100,69,108,2015/06/01,,,,,,,,
18953700,ブルボ　スローバーチョコバナナ,ブルボ　スローバーチョコバナナ,100,69,108,2015/06/01,,,,,,,,
18953800,東洋水　麺づくり鶏ガラ醤油,東洋水　麺づくり鶏ガラ醤油,200,132,12,2015/06/01,,,,,,,,
18953900,東洋水　赤いきつねうどん,東洋水　赤いきつねうどん,200,132,12,2015/06/01,,,,,,,,
18954000,東洋水　ワンタン醤油,東洋水　ワンタン醤油,110,76,12,2015/06/01,,,,,,,,
18954100,東洋水　ミニまるコーンみそ,東洋水　ミニまるコーンみそ,110,76,12,2015/06/01,,,,,,,,
18954600,ポッカ　こんがりパンコーンポタージュ,ポッカ　こんがりパンコーンポタージュ,150,104,24,2015/06/01,,,,,,,,
18954700,ポッカ　こんがりパンクラムチャウダー,ポッカ　こんがりパンクラムチャウダー,150,104,24,2015/06/01,,,,,,,,
18954800,亀田製　ハッピーターン,亀田製　ハッピーターン,100,69,40,2015/06/01,,,,,,,,
18954900,亀田製　カレーせんミニ,亀田製　カレーせんミニ,100,69,40,2015/06/01,,,,,,,,
18955000,湖池屋　ドンタコスチリタコス,湖池屋　ドンタコスチリタコス,100,69,12,2015/06/01,,,082,資格,,,,
18955100,湖池屋　ドンタコス焼きとうもろこし,湖池屋　ドンタコス焼きとうもろこし,100,69,12,2015/06/01,,,082,資格,,,,
18955700,ブルボ　プチポテトコンソメ,ブルボ　プチポテトコンソメ,100,69,80,2015/06/01,,,,,,,,
18955800,ブルボ　プチチョコチップ,ブルボ　プチチョコチップ,100,69,80,2015/06/01,,,,,,,,
18955900,ブルボ　プチチョコラングドシャ,ブルボ　プチチョコラングドシャ,100,69,80,2015/06/01,,,,,,,,
18956000,ブルボ　プチえび,ブルボ　プチえび,100,69,80,2015/06/01,,,,,,,,
18956300,亀田製　亀田の柿の種,亀田製　亀田の柿の種,100,69,60,2015/06/01,,,,,,,,
18956400,亀田製　亀田の柿の種わさび,亀田製　亀田の柿の種わさび,100,69,60,2015/06/01,,,,,,,,
